#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005737	cytoplasm	278	7911	0.27	1.87e-27	3702.AT1G01020.1,3702.AT1G01390.1,3702.AT1G01470.1,3702.AT1G02660.1,3702.AT1G03060.1,3702.AT1G07530.1,3702.AT1G08030.1,3702.AT1G08080.1,3702.AT1G09780.1,3702.AT1G09830.1,3702.AT1G10130.1,3702.AT1G12760.1,3702.AT1G14110.1,3702.AT1G14360.1,3702.AT1G14910.1,3702.AT1G15250.1,3702.AT1G15500.1,3702.AT1G17160.1,3702.AT1G17880.1,3702.AT1G18600.1,3702.AT1G19450.1,3702.AT1G20610.1,3702.AT1G20630.1,3702.AT1G22840.1,3702.AT1G24620.1,3702.AT1G26480.1,3702.AT1G29340.1,3702.AT1G30360.1,3702.AT1G30450.2,3702.AT1G30580.1,3702.AT1G35470.2,3702.AT1G43710.1,3702.AT1G44170.2,3702.AT1G47250.1,3702.AT1G47260.1,3702.AT1G48130.1,3702.AT1G50480.1,3702.AT1G51550.1,3702.AT1G51680.1,3702.AT1G52260.1,3702.AT1G53300.1,3702.AT1G54350.1,3702.AT1G55490.2,3702.AT1G62200.1,3702.AT1G63050.1,3702.AT1G63180.1,3702.AT1G63690.1,3702.AT1G65980.1,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G67280.1,3702.AT1G67300.2,3702.AT1G68090.1,3702.AT1G68560.1,3702.AT1G70600.1,3702.AT1G71980.1,3702.AT1G74070.1,3702.AT1G74270.1,3702.AT1G74380.1,3702.AT1G75200.1,3702.AT1G75270.1,3702.AT1G76400.1,3702.AT1G76690.1,3702.AT1G77590.1,3702.AT1G78610.1,3702.AT1G78670.1,3702.AT1G78900.2,3702.AT1G79440.1,3702.AT1G79850.1,3702.AT1G80600.1,3702.AT2G01210.1,3702.AT2G06050.2,3702.AT2G14750.1,3702.AT2G15390.2,3702.AT2G15620.1,3702.AT2G15820.1,3702.AT2G16060.1,3702.AT2G16500.1,3702.AT2G16570.1,3702.AT2G17560.1,3702.AT2G18170.1,3702.AT2G18390.1,3702.AT2G21340.1,3702.AT2G22360.1,3702.AT2G23970.1,3702.AT2G29050.1,3702.AT2G30490.1,3702.AT2G30860.1,3702.AT2G30870.1,3702.AT2G31650.1,3702.AT2G31660.1,3702.AT2G32590.1,3702.AT2G32950.1,3702.AT2G33380.1,3702.AT2G33570.1,3702.AT2G34480.1,3702.AT2G35930.1,3702.AT2G36310.1,3702.AT2G37130.1,3702.AT2G37770.2,3702.AT2G38120.1,3702.AT2G38270.1,3702.AT2G38910.1,3702.AT2G39960.1,3702.AT2G40170.1,3702.AT2G40290.1,3702.AT2G41370.1,3702.AT2G42210.2,3702.AT2G43400.1,3702.AT2G44680.1,3702.AT2G44990.1,3702.AT2G47770.1,3702.AT3G02050.1,3702.AT3G02110.1,3702.AT3G04920.1,3702.AT3G07950.1,3702.AT3G08560.1,3702.AT3G09840.1,3702.AT3G10380.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11200.1,3702.AT3G11320.1,3702.AT3G12260.1,3702.AT3G12500.1,3702.AT3G13490.1,3702.AT3G14390.1,3702.AT3G14440.1,3702.AT3G17840.1,3702.AT3G18480.1,3702.AT3G19980.1,3702.AT3G20780.1,3702.AT3G22840.1,3702.AT3G23920.1,3702.AT3G25070.1,3702.AT3G25110.1,3702.AT3G26400.1,3702.AT3G26420.1,3702.AT3G26618.1,3702.AT3G45770.1,3702.AT3G48000.1,3702.AT3G48560.1,3702.AT3G48850.1,3702.AT3G50830.1,3702.AT3G54050.1,3702.AT3G54640.1,3702.AT3G55030.1,3702.AT3G55520.1,3702.AT3G56090.1,3702.AT3G57130.1,3702.AT3G58560.1,3702.AT3G58730.1,3702.AT3G62660.1,3702.AT3G63520.1,3702.AT4G01130.1,3702.AT4G01470.1,3702.AT4G01850.1,3702.AT4G02080.1,3702.AT4G02570.4,3702.AT4G02770.1,3702.AT4G03560.1,3702.AT4G04210.1,3702.AT4G04330.1,3702.AT4G04770.1,3702.AT4G04955.1,3702.AT4G08950.1,3702.AT4G09730.1,3702.AT4G10960.1,3702.AT4G11030.1,3702.AT4G11260.1,3702.AT4G12130.1,3702.AT4G15000.1,3702.AT4G15560.1,3702.AT4G16120.1,3702.AT4G16760.1,3702.AT4G17170.1,3702.AT4G18240.1,3702.AT4G21990.1,3702.AT4G22240.1,3702.AT4G23400.1,3702.AT4G23430.2,3702.AT4G24310.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25420.1,3702.AT4G25630.1,3702.AT4G26110.1,3702.AT4G27270.1,3702.AT4G29040.1,3702.AT4G29060.1,3702.AT4G29220.1,3702.AT4G30440.1,3702.AT4G31120.1,3702.AT4G32810.1,3702.AT4G33060.1,3702.AT4G34190.1,3702.AT4G34350.1,3702.AT4G34660.1,3702.AT4G34890.1,3702.AT4G35850.1,3702.AT4G35985.1,3702.AT4G35987.1,3702.AT4G37470.1,3702.AT4G37650.1,3702.AT4G38360.2,3702.AT5G01750.2,3702.AT5G02810.1,3702.AT5G03520.1,3702.AT5G03700.1,3702.AT5G06300.1,3702.AT5G06720.1,3702.AT5G06730.1,3702.AT5G06950.1,3702.AT5G07720.1,3702.AT5G08100.1,3702.AT5G08335.1,3702.AT5G09230.7,3702.AT5G09920.1,3702.AT5G10720.1,3702.AT5G10860.1,3702.AT5G12040.1,3702.AT5G13300.1,3702.AT5G13450.1,3702.AT5G13690.1,3702.AT5G13780.1,3702.AT5G14040.1,3702.AT5G15630.1,3702.AT5G16150.3,3702.AT5G16400.1,3702.AT5G19160.1,3702.AT5G19220.1,3702.AT5G19730.1,3702.AT5G20010.1,3702.AT5G20610.1,3702.AT5G22300.1,3702.AT5G23040.1,3702.AT5G26340.1,3702.AT5G26710.1,3702.AT5G26980.1,3702.AT5G28750.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G38630.1,3702.AT5G39990.1,3702.AT5G40650.1,3702.AT5G41370.1,3702.AT5G41610.1,3702.AT5G42270.1,3702.AT5G42890.1,3702.AT5G43710.1,3702.AT5G47010.1,3702.AT5G47435.2,3702.AT5G47960.1,3702.AT5G48970.1,3702.AT5G49020.1,3702.AT5G49740.1,3702.AT5G50850.1,3702.AT5G50920.1,3702.AT5G51820.1,3702.AT5G52450.1,3702.AT5G53180.1,3702.AT5G53400.1,3702.AT5G56780.1,3702.AT5G56940.1,3702.AT5G57030.1,3702.AT5G58420.1,3702.AT5G58770.1,3702.AT5G59180.1,3702.AT5G59720.1,3702.AT5G60340.1,3702.AT5G60770.1,3702.AT5G64070.1,3702.AT5G64120.1,3702.AT5G64440.1,3702.AT5G64870.1,3702.AT5G66280.1,3702.AT5G67480.2,3702.ATMG00860.1	ARV1,AT1G01390,LEA14,AT1G02660,SPI,SCL14,TPST,ACA7,iPGAM1,PUR2,ECA3,AT1G12760,FUT9,UTR3,AT1G14910,AT1G15250,ATNTT2,AT1G17160,BTF3,RBL12,AT1G19450,CYCB2;3,CAT1,CYTC-1,AT1G24620,GRF12,PUB17,ERD4,CCC1,AT1G30580,RanBPM,EMB1075,ALDH3H1,PAF2,GAMMACA2,PER1,THFS,AT1G51550,4CL1,PDIL1-5,TTL1,ABCD2,CPN60B,PTR6,LPLAT2,UGE3,SPPL2,TPX1,AT1G66430,RBCS1A,AT1G67280,AT1G67300,ANN5,XYL1,AT1G70600,AT1G71980,AT1G74070,AT1G74270,XXT5,AT1G75200,DHAR2,AT1G76400,OPR2,LACS9,MSL6,GGH3,VHA-A,ALDH5F1,RPS17,WIN1,AT2G01210,OPR3,APK,FUT4,NIR1,OTP51,HB1,ADC1,ASE1,HMGB4,MPK7,TTN5,AT2G21340,AT2G22360,AT2G23970,RBL1,C4H,GSTF9,GSTF10,SET27,SAD2,EMB2795,COP1,RD20,GALS1,AT2G34480,PUB23,URH1,AT2G37130,ChlAKR,AUX1,CXIP2,CPK20,AT2G39960,GEA6,AT2G40290,BOP2,OEP16-3,ETFQO,CKB4,CCD7,TSPO,KUP3,scpl25,AT3G04920,AT3G07950,VHA-E2,CDC48,SEC8,AT3G11130,FAD7,AL2,AT3G11320,AT3G12260,HCHIB,OVA5,AT3G14390,NCED3,At3g17840,CASP,FYPP3,TOP6B,ELIP1,TRBAMY,RIN4,FaTA,EIF4B1,ATRZ-1A,ERF1-3,AT3G45770,ALDH2B4,CSR1,PHT3;2,COR413-PM2,HCEF1,TSA2,PGPS2,AT3G55520,FER3,BOP1,AT3G58560,AT3G58730,GATL7,CCD1,AT4G01130,TIP1;3,SAM-2,SAR2,CUL1,PSAD-1,TPC1,PUX4,RbcX1,ABCI8,ALN,EXO,RH39,UGE5,AT4G11030,SGT1B,AT4G12130,AT4G15000,CLA1,COBL7,ACX1,RABB1C,SS4,APR3,AT4G22240,PIP1;5,Tic32-IVa,AT4G24310,AT4G24530,RIN2,GA20OX1,FIB2,NAP1;1,AT4G27270,RPT2a,emb2726,PFK1,GAE1,SKB1,CCD8,AT4G33060,At4g34190,HDR,AT4G34660,XDH1,AT4G35850,AT4G35985,AT4G35987,KAI2,SHR,LAZ1,AT5G01750,PRR7,RAB8C,AT5G03700,LOG7,PA2,AT5G06730,AHBP-1B,XXT3,ASPGA1,ATSTE14B,SRT2,NRPB4,HK5,CBSX3,AT5G12040,SFC,ATP5,CYL1,AT5G13780,PHT3;1,IRX6,PGLCT,TRXF2,TBL11,APL1,AT5G19730,RAN-1,AT5G20610,NIT4,CPP1,MSS1,AT5G26710,SYP41,AT5G28750,AT5G35530,FIM5,CYB-1,AT5G39990,SDH2-2,XPB1,CHX18,VAR1,SCP2,AT5G43710,LBA1,AT5G47435,RABA4C,AT5G48970,PRMT4A,FRO7,MAB1,CLPC1,PGMP,AT5G52450,PTB2,BOB1,ET2,AT5G56940,LUT2,AT5G58420,cPT4,NRPB7,HSP18.2,AAK6,NRT2.4,PI-4KBETA1,AT5G64120,FAAH,AT5G64870,GMD1,BT4,ORF158
GO:0005622	intracellular	333	10863	0.21	3.02e-25	3702.AT1G01020.1,3702.AT1G01390.1,3702.AT1G01470.1,3702.AT1G01520.1,3702.AT1G02660.1,3702.AT1G03060.1,3702.AT1G05510.1,3702.AT1G06040.1,3702.AT1G07090.1,3702.AT1G07530.1,3702.AT1G08030.1,3702.AT1G08080.1,3702.AT1G08260.1,3702.AT1G09560.1,3702.AT1G09780.1,3702.AT1G09830.1,3702.AT1G10130.1,3702.AT1G12760.1,3702.AT1G14110.1,3702.AT1G14360.1,3702.AT1G14910.1,3702.AT1G15250.1,3702.AT1G15500.1,3702.AT1G17070.1,3702.AT1G17160.1,3702.AT1G17880.1,3702.AT1G17980.1,3702.AT1G18600.1,3702.AT1G19450.1,3702.AT1G20610.1,3702.AT1G20630.1,3702.AT1G21700.1,3702.AT1G22840.1,3702.AT1G24620.1,3702.AT1G25440.1,3702.AT1G26480.1,3702.AT1G27320.1,3702.AT1G29340.1,3702.AT1G30360.1,3702.AT1G30450.2,3702.AT1G30580.1,3702.AT1G32640.1,3702.AT1G35470.2,3702.AT1G43710.1,3702.AT1G44170.2,3702.AT1G47056.1,3702.AT1G47250.1,3702.AT1G47260.1,3702.AT1G48130.1,3702.AT1G50480.1,3702.AT1G50490.1,3702.AT1G51220.1,3702.AT1G51550.1,3702.AT1G51680.1,3702.AT1G52260.1,3702.AT1G53300.1,3702.AT1G54350.1,3702.AT1G55490.2,3702.AT1G55910.1,3702.AT1G61040.1,3702.AT1G62200.1,3702.AT1G63050.1,3702.AT1G63180.1,3702.AT1G63690.1,3702.AT1G65980.1,3702.AT1G66170.1,3702.AT1G66430.1,3702.AT1G67090.1,3702.AT1G67280.1,3702.AT1G67300.2,3702.AT1G67710.1,3702.AT1G68090.1,3702.AT1G68560.1,3702.AT1G70600.1,3702.AT1G71450.1,3702.AT1G71980.1,3702.AT1G74070.1,3702.AT1G74270.1,3702.AT1G74380.1,3702.AT1G75200.1,3702.AT1G75270.1,3702.AT1G76400.1,3702.AT1G76690.1,3702.AT1G76880.1,3702.AT1G77310.1,3702.AT1G77470.1,3702.AT1G77590.1,3702.AT1G77980.1,3702.AT1G78610.1,3702.AT1G78670.1,3702.AT1G78900.2,3702.AT1G79440.1,3702.AT1G79850.1,3702.AT1G80600.1,3702.AT2G01210.1,3702.AT2G01430.1,3702.AT2G06050.2,3702.AT2G14750.1,3702.AT2G15390.2,3702.AT2G15620.1,3702.AT2G15820.1,3702.AT2G16060.1,3702.AT2G16500.1,3702.AT2G16570.1,3702.AT2G17560.1,3702.AT2G18170.1,3702.AT2G18390.1,3702.AT2G21340.1,3702.AT2G22360.1,3702.AT2G23970.1,3702.AT2G25930.1,3702.AT2G29050.1,3702.AT2G29060.1,3702.AT2G30490.1,3702.AT2G30860.1,3702.AT2G30870.1,3702.AT2G31650.1,3702.AT2G31660.1,3702.AT2G32590.1,3702.AT2G32950.1,3702.AT2G33380.1,3702.AT2G33570.1,3702.AT2G34480.1,3702.AT2G35930.1,3702.AT2G36310.1,3702.AT2G37130.1,3702.AT2G37770.2,3702.AT2G38120.1,3702.AT2G38270.1,3702.AT2G38910.1,3702.AT2G39960.1,3702.AT2G40170.1,3702.AT2G40290.1,3702.AT2G41370.1,3702.AT2G42210.2,3702.AT2G43400.1,3702.AT2G44680.1,3702.AT2G44990.1,3702.AT2G47770.1,3702.AT3G01420.1,3702.AT3G02050.1,3702.AT3G02110.1,3702.AT3G04920.1,3702.AT3G07220.1,3702.AT3G07950.1,3702.AT3G08560.1,3702.AT3G09840.1,3702.AT3G10380.1,3702.AT3G11020.1,3702.AT3G11130.1,3702.AT3G11170.1,3702.AT3G11200.1,3702.AT3G11320.1,3702.AT3G12260.1,3702.AT3G12500.1,3702.AT3G13490.1,3702.AT3G14360.1,3702.AT3G14390.1,3702.AT3G14440.1,3702.AT3G16740.1,3702.AT3G17840.1,3702.AT3G18480.1,3702.AT3G19980.1,3702.AT3G20780.1,3702.AT3G20880.1,3702.AT3G22840.1,3702.AT3G23100.2,3702.AT3G23920.1,3702.AT3G25070.1,3702.AT3G25110.1,3702.AT3G26400.1,3702.AT3G26420.1,3702.AT3G26618.1,3702.AT3G45770.1,3702.AT3G48000.1,3702.AT3G48560.1,3702.AT3G48850.1,3702.AT3G50830.1,3702.AT3G51520.1,3702.AT3G54050.1,3702.AT3G54220.1,3702.AT3G54640.1,3702.AT3G55030.1,3702.AT3G55520.1,3702.AT3G56090.1,3702.AT3G57130.1,3702.AT3G58560.1,3702.AT3G58730.1,3702.AT3G60660.1,3702.AT3G60870.1,3702.AT3G62660.1,3702.AT3G63520.1,3702.AT4G01070.1,3702.AT4G01130.1,3702.AT4G01470.1,3702.AT4G01850.1,3702.AT4G02080.1,3702.AT4G02570.4,3702.AT4G02770.1,3702.AT4G03560.1,3702.AT4G04210.1,3702.AT4G04330.1,3702.AT4G04770.1,3702.AT4G04955.1,3702.AT4G06746.1,3702.AT4G08950.1,3702.AT4G09730.1,3702.AT4G09820.1,3702.AT4G10960.1,3702.AT4G11030.1,3702.AT4G11260.1,3702.AT4G12130.1,3702.AT4G13040.3,3702.AT4G15000.1,3702.AT4G15560.1,3702.AT4G16120.1,3702.AT4G16760.1,3702.AT4G17170.1,3702.AT4G18240.1,3702.AT4G21990.1,3702.AT4G22240.1,3702.AT4G23400.1,3702.AT4G23430.2,3702.AT4G24310.1,3702.AT4G24530.1,3702.AT4G25230.1,3702.AT4G25420.1,3702.AT4G25630.1,3702.AT4G26110.1,3702.AT4G27270.1,3702.AT4G29040.1,3702.AT4G29060.1,3702.AT4G29220.1,3702.AT4G30440.1,3702.AT4G31120.1,3702.AT4G31550.1,3702.AT4G32810.1,3702.AT4G32910.1,3702.AT4G33060.1,3702.AT4G33210.1,3702.AT4G34190.1,3702.AT4G34350.1,3702.AT4G34660.1,3702.AT4G34890.1,3702.AT4G35850.1,3702.AT4G35985.1,3702.AT4G35987.1,3702.AT4G37470.1,3702.AT4G37650.1,3702.AT4G38360.2,3702.AT5G01750.2,3702.AT5G02810.1,3702.AT5G03520.1,3702.AT5G03700.1,3702.AT5G05660.1,3702.AT5G06300.1,3702.AT5G06720.1,3702.AT5G06730.1,3702.AT5G06950.1,3702.AT5G07720.1,3702.AT5G08100.1,3702.AT5G08335.1,3702.AT5G09230.7,3702.AT5G09920.1,3702.AT5G10720.1,3702.AT5G10860.1,3702.AT5G12040.1,3702.AT5G13300.1,3702.AT5G13450.1,3702.AT5G13690.1,3702.AT5G13780.1,3702.AT5G14040.1,3702.AT5G14620.1,3702.AT5G15630.1,3702.AT5G16150.3,3702.AT5G16400.1,3702.AT5G16790.1,3702.AT5G19160.1,3702.AT5G19220.1,3702.AT5G19730.1,3702.AT5G20010.1,3702.AT5G20610.1,3702.AT5G22300.1,3702.AT5G23040.1,3702.AT5G26340.1,3702.AT5G26710.1,3702.AT5G26980.1,3702.AT5G27120.1,3702.AT5G28750.1,3702.AT5G35530.1,3702.AT5G35700.1,3702.AT5G38630.1,3702.AT5G39990.1,3702.AT5G40650.1,3702.AT5G41370.1,3702.AT5G41610.1,3702.AT5G42270.1,3702.AT5G42890.1,3702.AT5G43710.1,3702.AT5G44635.1,3702.AT5G47010.1,3702.AT5G47435.2,3702.AT5G47960.1,3702.AT5G48970.1,3702.AT5G49020.1,3702.AT5G49740.1,3702.AT5G50850.1,3702.AT5G50920.1,3702.AT5G51820.1,3702.AT5G52450.1,3702.AT5G53180.1,3702.AT5G53400.1,3702.AT5G54910.1,3702.AT5G56780.1,3702.AT5G56940.1,3702.AT5G57030.1,3702.AT5G58420.1,3702.AT5G58770.1,3702.AT5G59180.1,3702.AT5G59720.1,3702.AT5G60340.1,3702.AT5G60440.1,3702.AT5G60770.1,3702.AT5G60930.1,3702.AT5G64070.1,3702.AT5G64120.1,3702.AT5G64220.2,3702.AT5G64440.1,3702.AT5G64870.1,3702.AT5G66130.1,3702.AT5G66280.1,3702.AT5G67480.2,3702.ATMG00860.1	ARV1,AT1G01390,LEA14,ASG4,AT1G02660,SPI,AT1G05510,STO,LSH6,SCL14,TPST,ACA7,TIL1,GLP5,iPGAM1,PUR2,ECA3,AT1G12760,FUT9,UTR3,AT1G14910,AT1G15250,ATNTT2,STIPL1,AT1G17160,BTF3,PAPS1,RBL12,AT1G19450,CYCB2;3,CAT1,SWI3C,CYTC-1,AT1G24620,BBX15,GRF12,HK3,PUB17,ERD4,CCC1,AT1G30580,MYC2,RanBPM,EMB1075,ALDH3H1,VFB1,PAF2,GAMMACA2,PER1,THFS,UBC20,WIP5,AT1G51550,4CL1,PDIL1-5,TTL1,ABCD2,CPN60B,ZIP11,VIP5,PTR6,LPLAT2,UGE3,SPPL2,TPX1,MMD1,AT1G66430,RBCS1A,AT1G67280,AT1G67300,ARR11,ANN5,XYL1,AT1G70600,AT1G71450,AT1G71980,AT1G74070,AT1G74270,XXT5,AT1G75200,DHAR2,AT1G76400,OPR2,AT1G76880,AT1G77310,EMB2810,LACS9,AGL66,MSL6,GGH3,VHA-A,ALDH5F1,RPS17,WIN1,AT2G01210,HB17,OPR3,APK,FUT4,NIR1,OTP51,HB1,ADC1,ASE1,HMGB4,MPK7,TTN5,AT2G21340,AT2G22360,AT2G23970,ELF3,RBL1,AT2G29060,C4H,GSTF9,GSTF10,SET27,SAD2,EMB2795,COP1,RD20,GALS1,AT2G34480,PUB23,URH1,AT2G37130,ChlAKR,AUX1,CXIP2,CPK20,AT2G39960,GEA6,AT2G40290,BOP2,OEP16-3,ETFQO,CKB4,CCD7,TSPO,DOX1,KUP3,scpl25,AT3G04920,FHA2,AT3G07950,VHA-E2,CDC48,SEC8,DREB2B,AT3G11130,FAD7,AL2,AT3G11320,AT3G12260,HCHIB,OVA5,AT3G14360,AT3G14390,NCED3,AT3G16740,At3g17840,CASP,FYPP3,TOP6B,WIP4,ELIP1,XRCC4,TRBAMY,RIN4,FaTA,EIF4B1,ATRZ-1A,ERF1-3,AT3G45770,ALDH2B4,CSR1,PHT3;2,COR413-PM2,DGAT2,HCEF1,SCR,TSA2,PGPS2,AT3G55520,FER3,BOP1,AT3G58560,AT3G58730,AT3G60660,AHL18,GATL7,CCD1,GT72B1,AT4G01130,TIP1;3,SAM-2,SAR2,CUL1,PSAD-1,TPC1,PUX4,RbcX1,ABCI8,ALN,RAP2.9,EXO,RH39,TT8,UGE5,AT4G11030,SGT1B,AT4G12130,AT4G13040,AT4G15000,CLA1,COBL7,ACX1,RABB1C,SS4,APR3,AT4G22240,PIP1;5,Tic32-IVa,AT4G24310,AT4G24530,RIN2,GA20OX1,FIB2,NAP1;1,AT4G27270,RPT2a,emb2726,PFK1,GAE1,SKB1,WRKY11,CCD8,AT4G32910,AT4G33060,SLOMO,At4g34190,HDR,AT4G34660,XDH1,AT4G35850,AT4G35985,AT4G35987,KAI2,SHR,LAZ1,AT5G01750,PRR7,RAB8C,AT5G03700,NFXL2,LOG7,PA2,AT5G06730,AHBP-1B,XXT3,ASPGA1,ATSTE14B,SRT2,NRPB4,HK5,CBSX3,AT5G12040,SFC,ATP5,CYL1,AT5G13780,PHT3;1,DRM2,IRX6,PGLCT,TRXF2,THO7A,TBL11,APL1,AT5G19730,RAN-1,AT5G20610,NIT4,CPP1,MSS1,AT5G26710,SYP41,AT5G27120,AT5G28750,AT5G35530,FIM5,CYB-1,AT5G39990,SDH2-2,XPB1,CHX18,VAR1,SCP2,AT5G43710,MCM6,LBA1,AT5G47435,RABA4C,AT5G48970,PRMT4A,FRO7,MAB1,CLPC1,PGMP,AT5G52450,PTB2,BOB1,AT5G54910,ET2,AT5G56940,LUT2,AT5G58420,cPT4,NRPB7,HSP18.2,AAK6,AGL62,NRT2.4,AT5G60930,PI-4KBETA1,AT5G64120,AT5G64220,FAAH,AT5G64870,ATRAD17,GMD1,BT4,ORF158
