gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DG1	DG2	DG3	S1	S2	S3	S4
MSTRG.13594_jg21050	2741.399799	-3.351182944	0.181305761	-18.48359879	2.80E-76	2.76E-73	5736.131974	5879.76474	5354.962223	658.9952637	503.3894658	502.9887949	553.566129
MSTRG.20636_jg33018	6258.870076	-7.582291019	0.410502681	-18.47074666	3.55E-76	3.38E-73	10060.8435	13013.33036	20435.90125	42.55742407	67.33234893	86.0784948	106.0471512
MSTRG.33691_jg30845	22494.67959	-6.651577437	0.363046893	-18.32153798	5.57E-75	5.14E-72	48397.80594	53223.28609	53781.74171	279.8473038	443.538489	737.3712025	599.166404
MSTRG.7328_jg5604	9859.90154	7.8986938	0.431841331	18.29073143	9.81E-75	8.78E-72	89.45622555	61.38010295	65.71029342	8243.244081	17526.7173	26579.58727	16453.2155
MSTRG.36267_jg18943	579.0556723	-6.200502551	0.350320721	-17.69950271	4.23E-70	3.67E-67	1511.810212	1259.040648	1210.093455	20.63390258	25.65041864	15.55635448	10.60471512
MSTRG.20733_jg33113	2612.462908	-2.094643518	0.118898487	-17.61707464	1.82E-69	1.54E-66	4803.799312	4621.472629	4511.822354	1060.066745	1123.274583	1070.277188	1096.527543
MSTRG.34180_jg31308	5213.058624	-6.587105322	0.375138069	-17.55914918	5.06E-69	4.15E-66	13129.19204	11260.25474	11602.56038	145.726937	132.527163	162.8231769	58.32593313
MSTRG.35191_jg17967	8409.980273	-9.800941971	0.559340693	-17.5223117	9.68E-69	7.73E-66	27462.06729	14294.07861	17024.93966	47.71589972	12.82520932	17.63053508	10.60471512
MSTRG.15100_jg1341	1985.368985	-5.22944259	0.302819549	-17.26917106	8.03E-67	6.24E-64	3368.523871	4896.186017	5156.124582	107.0383696	104.7392094	100.597759	164.3730843
MSTRG.4510_jg25955	812.6053256	-9.053974601	0.525576702	-17.22674268	1.67E-66	1.27E-63	1662.891837	2346.666131	1664.945227	0	5.343837217	4.148361195	4.241886046
MSTRG.12687_jg35030	1583.613123	-8.097128363	0.471228032	-17.18303628	3.56E-66	2.63E-63	4193.509062	2032.280238	4805.385224	19.34428367	7.481372104	12.44508359	14.84660116
MSTRG.9715_jg24326	15371.80226	-5.415104983	0.315202149	-17.17978448	3.76E-66	2.71E-63	34644.40824	39323.68693	30373.51641	953.0283755	535.4524891	684.4795972	1088.043771
MSTRG.1594_jg7918.1	6431.29783	8.150314008	0.478816413	17.02179328	5.66E-65	3.98E-62	37.77040634	25.45028659	55.46972821	6307.526095	7773.145616	17814.10006	13005.62262
MSTRG.38240_jg11801	2961.059665	-6.761771511	0.397658006	-17.00398688	7.67E-65	5.27E-62	5860.376731	7256.325829	7358.699482	76.08751577	97.25783735	38.37234106	40.29791744
MSTRG.25045_jg36244	433.115401	-4.682942895	0.276236669	-16.9526476	1.84E-64	1.23E-61	951.217865	973.0991931	958.3462274	29.66123496	51.30083728	33.18688956	34.99555988
MSTRG.8965_jg7168	2562.15774	-4.690111386	0.27708723	-16.92647973	2.87E-64	1.88E-61	5396.198317	5840.092234	5817.494418	247.606831	168.8652561	172.1569896	292.6901372
MSTRG.35075_jg17854.1	15261.27558	-3.965038515	0.235442789	-16.84077283	1.23E-63	7.87E-61	32678.35919	27362.80077	38385.05192	1881.553992	2171.735445	2567.83558	1781.592139
MSTRG.32041_jg29150	578.6273791	6.582203196	0.398874068	16.50195818	3.55E-61	2.23E-58	17.89124511	7.485378408	6.827043472	900.1540001	1062.354839	872.1929413	1183.486207
MSTRG.15718_genb_9723	326.8966653	-4.266613879	0.258803103	-16.48594558	4.63E-61	2.85E-58	723.6014689	720.8419407	695.5050537	38.68856734	27.78795353	38.37234106	43.47933197
