Gene stable ID	STRING ID
AT2G16953	
AT2G22320	
AT1G26760	3702.AT1G26760.1
AT1G05250	3702.AT1G05250.1
AT3G44560	3702.AT3G44560.1
AT3G44560	
AT3G44560	
AT1G67260	
AT1G67260	
AT1G67260	3702.AT1G67260.1
AT4G31950	3702.AT4G31950.1
AT5G51680	
AT4G10925	
AT4G10925	
AT4G10925	
AT4G10925	
AT4G10925	
AT3G56520	3702.AT3G56520.1
AT1G24575	
AT4G31690	
AT1G12790	3702.AT1G12790.1
AT4G34640	3702.AT4G34640.1
AT4G34640	
AT4G03340	
AT4G03340	
AT2G37260	3702.AT2G37260.1
AT2G37260	
AT2G37260	
AT5G54610	3702.AT5G54610.1
AT3G27970	3702.AT3G27970.1
AT4G13550	
AT4G13550	
AT4G13550	3702.AT4G13550.1
AT1G04850	3702.AT1G04850.1
AT1G04850	
AT5G20560	3702.AT5G20560.1
AT3G17420	3702.AT3G17420.1
AT3G08780	3702.AT3G08780.1
AT3G08780	
AT1G31760	3702.AT1G31760.1
AT5G65470	3702.AT5G65470.1
AT1G33250	3702.AT1G33250.1
AT1G74000	3702.AT1G74000.1
AT3G55660	3702.AT3G55660.1
AT3G55660	
AT4G15562	
AT3G48480	3702.AT3G48480.1
AT5G66420	
AT5G66420	
AT5G66420	3702.AT5G66420.2
AT3G02740	3702.AT3G02740.1
AT3G02740	
AT1G55580	3702.AT1G55580.1
AT1G53903	
AT3G63400	3702.AT3G63400.3
AT3G63400	3702.AT3G63400.3
AT3G63400	3702.AT3G63400.3
AT3G63400	
AT1G19715	
AT1G19715	
AT1G19715	3702.AT1G19715.3
AT5G62750	3702.AT5G62750.1
AT2G04031	3702.AT2G04031.1
AT3G06130	
AT3G06130	3702.AT3G06130.1
AT5G50000	
AT5G50000	3702.AT5G50000.1
AT1G69430	
AT1G53340	
AT1G53340	
AT1G53340	
ATCG00160	3702.ATCG00160.1
AT3G05660	3702.AT3G05660.1
AT2G16130	3702.AT2G16130.1
AT5G63820	
AT3G17140	3702.AT3G17140.1
AT3G24110	
AT3G24110	3702.AT3G24110.1
AT1G29890	
AT1G29890	
AT1G29890	
AT2G47560	3702.AT2G47560.1
AT4G28600	
AT4G28600	3702.AT4G28600.1
AT4G28600	3702.AT4G28600.1
AT1G80290	
AT1G80290	
AT1G56540	3702.AT1G56540.1
AT1G56540	
AT2G37390	
AT2G37390	
AT2G06050	3702.AT2G06050.2
AT2G06050	3702.AT2G06050.2
AT2G06050	3702.AT2G06050.2
AT3G20920	3702.AT3G20920.1
AT3G20920	
AT5G26220	3702.AT5G26220.1
AT5G26220	
AT3G54830	
AT3G54830	
AT3G09190	3702.AT3G09190.1
AT3G05545	3702.AT3G05545.1
AT1G48650	
AT1G48650	3702.AT1G48650.2
AT4G27400	3702.AT4G27400.1
AT2G35250	
AT5G15730	
AT5G15730	3702.AT5G15730.2
AT5G15730	3702.AT5G15730.2
AT1G22670	3702.AT1G22670.1
AT1G07030	3702.AT1G07030.1
AT5G61930	
AT5G61930	
AT4G27260	3702.AT4G27260.1
AT1G69860	3702.AT1G69860.1
AT1G10120	3702.AT1G10120.1
AT1G10120	3702.AT1G10120.1
AT5G08760	
AT2G38390	3702.AT2G38390.1
AT1G43650	
AT1G43650	3702.AT1G43650.1
AT3G26470	3702.AT3G26470.1
AT1G09960	3702.AT1G09960.1
AT4G27370	
AT4G27370	
AT4G27370	3702.AT4G27370.1
AT4G27370	
AT2G25250	
AT5G42110	
AT1G51990	
AT1G51990	3702.AT1G51990.1
AT5G23030	3702.AT5G23030.1
AT3G51100	
AT3G51100	
AT3G51100	
AT3G29580	
AT3G28370	
AT3G28370	
AT3G28370	
AT3G28370	3702.AT3G28370.1
AT3G28370	
AT2G15710	3702.AT2G15710.1
AT5G20250	3702.AT5G20250.4
AT5G20250	
AT5G20250	3702.AT5G20250.4
AT5G20250	3702.AT5G20250.4
AT4G21470	3702.AT4G21470.1
AT4G05220	3702.AT4G05220.1
AT4G04730	
AT2G33520	
AT1G53625	3702.AT1G53625.1
AT1G63360	3702.AT1G63360.1
AT1G63360	
AT1G33330	3702.AT1G33330.1
AT1G33330	3702.AT1G33330.1
AT1G33330	3702.AT1G33330.1
AT3G26840	3702.AT3G26840.1
AT1G74929	3702.AT1G74929.1
AT3G29010	3702.AT3G29010.1
AT3G29010	
AT3G29010	
AT3G29010	3702.AT3G29010.1
AT3G29010	
AT3G29010	
AT3G10450	3702.AT3G10450.1
AT3G10450	
AT3G10450	
AT3G10450	
AT4G12485	
AT4G34800	3702.AT4G34800.1
AT4G28340	
AT1G63430	3702.AT1G63430.2
AT1G63430	
AT1G63430	3702.AT1G63430.2
AT3G14510	
AT1G80720	
AT1G80720	
AT1G69770	3702.AT1G69770.1
AT1G08460	3702.AT1G08460.1
AT1G08460	
AT1G78710	
AT1G78710	
AT4G03820	
AT4G03820	
AT4G03820	
AT4G03820	3702.AT4G03820.2
AT3G28930	3702.AT3G28930.1
AT3G28930	
AT3G28930	3702.AT3G28930.1
AT3G52950	3702.AT3G52950.1
AT3G52950	3702.AT3G52950.1
AT2G26330	3702.AT2G26330.1
AT1G08610	3702.AT1G08610.1
AT3G57620	3702.AT3G57620.1
AT5G08070	3702.AT5G08070.1
AT5G08070	3702.AT5G08070.1
AT1G17540	3702.AT1G17540.1
AT2G39280	
AT2G39280	3702.AT2G39280.2
AT1G27380	
AT1G27380	
AT1G27380	3702.AT1G27380.1
AT1G27380	3702.AT1G27380.1
AT1G58643	
AT1G58643	3702.AT1G59312.1
AT5G08450	3702.AT5G08450.2
AT5G08450	3702.AT5G08450.2
AT5G08450	3702.AT5G08450.2
AT5G14030	3702.AT5G14030.1
AT5G14030	3702.AT5G14030.1
AT5G14030	3702.AT5G14030.1
AT5G14030	
AT5G14030	3702.AT5G14030.1
AT1G48953	
AT5G66080	3702.AT5G66080.1
AT5G66080	
AT2G47730	3702.AT2G47730.1
AT2G47730	3702.AT2G47730.1
AT2G02310	3702.AT2G02310.1
AT4G11020	3702.AT4G11020.1
AT3G50670	
AT3G50670	3702.AT3G50670.1
AT1G51440	3702.AT1G51440.1
AT2G07719	3702.ATMG00610.1
AT1G18871	3702.AT1G18871.1
AT1G25210	3702.AT1G25054.1
AT1G25210	
AT1G21610	
AT1G21610	3702.AT1G21610.3
AT1G21610	
AT1G21610	
AT1G21610	
AT1G21610	
AT5G05340	3702.AT5G05340.1
AT5G45440	
AT4G05110	3702.AT4G05110.1
AT4G05110	3702.AT4G05110.1
AT4G05110	
AT5G25380	3702.AT5G25380.1
AT5G25380	
AT5G25380	
AT5G25380	
AT3G44080	
AT1G79710	
AT1G79710	
AT1G79710	
AT5G56920	3702.AT5G56920.1
AT5G38000	
AT5G38000	
AT5G38000	3702.AT5G38000.1
AT5G15050	3702.AT5G15050.1
AT3G50370	3702.AT3G50370.1
AT3G50370	
AT1G80840	3702.AT1G80840.1
AT5G53670	
ATMG00440	3702.ATMG01140.1
AT2G23160	
AT4G29940	
AT4G29940	3702.AT4G29940.1
AT4G23640	3702.AT4G23640.1
AT3G09550	
AT3G09550	3702.AT3G09550.1
AT3G09550	3702.AT3G09550.1
AT3G07568	3702.AT3G07568.1
AT5G44630	3702.AT5G44630.1
AT2G40900	3702.AT2G40900.1
AT2G39140	3702.AT2G39140.1
AT2G39140	
AT5G05950	3702.AT5G05950.1
AT3G48670	3702.AT3G48670.1
AT3G48670	3702.AT3G48670.1
AT3G48670	3702.AT3G48670.1
AT5G63810	3702.AT5G63810.1
AT5G02340	
AT4G32470	3702.AT4G32470.1
AT4G32470	
AT3G11270	3702.AT3G11270.1
AT3G11270	
AT2G46440	
AT2G46440	3702.AT2G46440.1
AT2G17630	3702.AT2G17630.1
AT2G21105	
AT5G24100	3702.AT5G24100.1
AT4G29330	3702.AT4G29330.1
AT4G29330	
AT2G15470	3702.AT2G15470.1
AT2G47790	3702.AT2G47790.1
AT1G71300	
AT1G71300	3702.AT1G71300.1
AT5G48545	3702.AT5G48545.1
AT5G48545	
AT5G48545	
AT1G49490	3702.AT1G49490.1
AT1G49490	
AT1G23645	
AT1G23645	
AT3G08530	3702.AT3G08530.1
AT1G09795	3702.AT1G09795.1
AT2G19190	3702.AT2G19190.1
AT5G56950	3702.AT5G56950.1
AT3G22380	
AT3G22380	
AT3G22380	3702.AT3G22380.2
AT2G41835	3702.AT2G41835.1
AT4G23590	3702.AT4G23590.1
AT3G05140	3702.AT3G05140.1
AT3G05140	
AT1G48690	3702.AT1G48690.1
AT4G35620	3702.AT4G35620.1
AT4G35620	
AT3G29750	
AT1G49570	3702.AT1G49570.1
AT3G54500	
AT3G54500	
AT3G54500	
AT3G54500	3702.AT3G54500.3
AT3G54500	
AT3G54500	
AT3G54500	
AT3G54500	
AT2G45130	3702.AT2G45130.1
AT1G68470	3702.AT1G68470.1
AT5G58400	3702.AT5G58400.1
AT2G39110	
AT2G39110	3702.AT2G39110.1
AT5G39510	3702.AT5G39510.1
