gene_id (Stringtie)	gene_id (Stringtie_gtf)	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	HG1	HG2	HG3	DG1	DG2	DG3	
MSTRG.30912	MSTRG.30912_jg678	1702.685634	2.458360851	0.209459547	11.73668561	8.27E-32	6.78E-29	535.0596506	526.0499059	512.0573759	2563.004696	2814.091784	3265.850392	
MSTRG.2100	MSTRG.2100_jg8404	6967.511589	-5.157680596	0.441608474	-11.67930621	1.63E-31	1.29E-28	15003.0726	12935.16847	12726.97187	631.363678	327.6898443	180.8030689	
MSTRG.30854	MSTRG.30854_jg623	7689.676646	2.753638812	0.235994939	11.66821128	1.85E-31	1.43E-28	1728.242671	2093.910139	2133.912411	12977.44899	15868.64905	11335.89662	
MSTRG.30061	MSTRG.30061_jg9798	1579.62789	3.880090882	0.334920442	11.58511216	4.90E-31	3.68E-28	140.8990413	214.7929934	244.8083072	2287.055979	2759.161117	3831.049902	
MSTRG.36268	MSTRG.36268_jg18944	10065.15879	2.980890059	0.263445972	11.31499577	1.11E-29	8.07E-27	2901.806838	2038.604159	1852.382858	20073.52264	16741.85725	16782.77899	
MSTRG.30644	MSTRG.30644_jg418	849.6923905	4.331769263	0.384538179	11.26486133	1.96E-29	1.39E-26	76.69188325	101.6086615	63.24214603	1295.911062	2347.496804	1213.203786	
MSTRG.19491	MSTRG.19491_jg23820	1294.234712	5.198529547	0.464101675	11.20127297	4.02E-29	2.78E-26	41.02123988	63.02309386	99.96339211	1422.5331	3653.205085	2485.662359	
MSTRG.38240	MSTRG.38240_jg11801	3187.230372	3.776607952	0.339906977	11.11071031	1.11E-28	7.49E-26	629.5868555	293.2503143	380.4729108	5148.714032	6120.665415	6550.692704	
MSTRG.29139	MSTRG.29139_jg8915	7757.986929	2.555383203	0.231269073	11.0493944	2.21E-28	1.45E-25	1815.635748	2289.410349	2659.230237	12477.94688	13441.59749	13864.10087	
MSTRG.26413	MSTRG.26413_jg16625	1435.32087	3.336088133	0.302119303	11.04228727	2.39E-28	1.53E-25	201.5391351	255.9509322	316.2107302	2319.36643	2218.062472	3300.795523	
MSTRG.18176	MSTRG.18176_jg22565	680.9989311	3.653443368	0.331153018	11.03249305	2.66E-28	1.67E-25	73.12481891	99.03629036	126.4842921	1040.920476	1165.540371	1580.887338	
MSTRG.21192	MSTRG.21192_jg33549	6774.77422	4.509839836	0.417330644	10.80639513	3.21E-27	1.96E-24	866.7966339	415.4379453	429.4345722	11679.79141	18454.81013	8802.374621	
MSTRG.22974	MSTRG.22974_jg12962	6279.327947	2.685552017	0.248692143	10.79870069	3.49E-27	2.08E-24	1853.089923	1548.567449	1667.756593	12282.33766	8360.826432	11963.38962	
MSTRG.7415	MSTRG.7415_jg5695	1159.299076	3.870545554	0.358780364	10.78806408	3.92E-27	2.29E-24	133.7649126	145.3389716	165.2456074	1786.680616	1542.4784	3182.285949	
MSTRG.32823	MSTRG.32823_jg29891	247.2807885	6.148865981	0.570160085	10.78445535	4.08E-27	2.33E-24	0	6.430927945	12.24041536	395.5847111	550.5694494	518.8592272	
MSTRG.36983	MSTRG.36983_jg19632	1279.437887	2.479193841	0.230386805	10.76100623	5.26E-27	2.94E-24	370.9746911	400.0037182	395.77343	2115.024658	1861.328826	2533.521995	
MSTRG.25178	MSTRG.25178_jg36371	832.2494859	-2.237420168	0.209276298	-10.69122586	1.12E-26	6.12E-24	1216.368939	1454.675901	1448.449151	287.3010374	294.2263342	292.4755527	
MSTRG.20636	MSTRG.20636_jg33018	6653.408839	4.310828271	0.40493004	10.64585939	1.82E-26	9.77E-24	429.8312526	560.7769168	922.1112905	8839.091492	10976.6627	18191.97938	
MSTRG.11175	MSTRG.11175_jg3529	1977.805323	2.560464952	0.240647429	10.63990154	1.94E-26	1.02E-23	444.09951	616.0828972	656.902291	3395.217123	3292.683117	3461.846996	
MSTRG.6085	MSTRG.6085_jg14887	349.1219057	3.206336117	0.301937193	10.61921549	2.43E-26	1.25E-23	62.4236259	87.46062006	55.08186912	601.6729933	644.6461098	643.4462159	
MSTRG.3945	MSTRG.3945_jg25411	1542.313725	4.82958902	0.456433333	10.58114882	3.64E-26	1.84E-23	176.5696847	61.73690828	78.54266523	2760.360423	2147.34713	4029.325536	
MSTRG.17550	MSTRG.17550_jg10892	310.1267674	6.832525276	0.646265569	10.57231827	4.00E-26	1.98E-23	0	9.003299124	6.12020768	442.7405045	943.2921529	459.6044399	
MSTRG.36269	MSTRG.36269_jg18945	4896.09863	3.144410975	0.298059352	10.54961354	5.10E-26	2.48E-23	1335.865594	900.3299124	751.7655101	10202.24322	7930.220509	8256.16703	
MSTRG.27544	MSTRG.27544_jg3754	5514.561313	3.09027631	0.295053863	10.47360057	1.14E-25	5.45E-23	775.8364933	1275.896104	1421.928251	8975.319339	10059.8888	10578.49889	
MSTRG.11114	MSTRG.11114_jg3471	360.1773255	-2.879151104	0.276231809	-10.42295278	1.95E-25	9.13E-23	533.2761184	729.267229	639.5617026	85.57903242	77.66059893	95.71927179	
MSTRG.5480	MSTRG.5480_jg14309	1393.564393	3.018878232	0.289920748	10.41277056	2.17E-25	9.99E-23	214.0238602	312.5430981	388.6331877	2371.761756	2655.613651	2418.810805	
MSTRG.6218	MSTRG.6218_jg15011	3683.988541	2.835547203	0.272847273	10.39243373	2.68E-25	1.22E-22	986.2932892	941.4878512	789.5067908	6442.005328	4910.296568	8034.341416	
MSTRG.33277	MSTRG.33277_jg30318	3580.071764	-4.134025036	0.399918918	-10.33715799	4.79E-25	2.13E-22	7314.265423	7079.165482	5930.481242	267.2161625	629.4928223	259.809452	
MSTRG.4243	MSTRG.4243_jg25694	690.559899	3.572935415	0.346633795	10.30752185	6.52E-25	2.85E-22	71.34128674	111.8981462	135.6646036	963.2007425	1407.992973	1453.261642	
MSTRG.10720	MSTRG.10720_jg3097	881.4206999	6.069956362	0.589208011	10.30189041	6.91E-25	2.96E-22	44.58830421	19.29278384	15.3005192	1777.948061	692.0001336	2739.394397	
MSTRG.5695	MSTRG.5695_jg14514	504.4113389	3.263012305	0.316773983	10.30075854	6.99E-25	2.96E-22	74.90835108	120.9014454	88.74301137	1088.076269	897.2009031	756.6380532	
MSTRG.6863	MSTRG.6863_jg5165	449.6016195	4.139466367	0.40937666	10.11163257	4.91E-24	2.04E-21	30.32004687	39.87175326	72.42245755	957.9612099	642.1205619	954.9136876	
MSTRG.16702	MSTRG.16702_jg10090	1501.423467	-2.035893474	0.202830314	-10.03742208	1.04E-23	4.28E-21	2447.006135	2309.989318	2484.804318	666.2938953	551.2008363	549.2462977	
MSTRG.1841	MSTRG.1841_jg8159	17346.92998	2.37974098	0.237999049	9.998951614	1.54E-23	6.22E-21	4913.631124	5480.436795	6379.296472	25807.31781	26647.68763	34853.21008	
MSTRG.26677	MSTRG.26677_jg16882	968.8719155	5.066788998	0.50744831	9.984837661	1.78E-23	7.06E-21	37.45417554	38.58556767	90.78308059	1260.980845	3025.606424	1359.821401	
MSTRG.36270	MSTRG.36270_jg18946	633.5790653	3.377578232	0.343557206	9.831196006	8.26E-23	3.24E-20	160.5178952	96.46391918	79.56269985	1326.475003	1061.992906	1076.461969	
MSTRG.11250	MSTRG.11250_jg3606	3917.607007	2.682737025	0.27332118	9.815327985	9.67E-23	3.73E-20	881.0648913	1058.53074	1226.081605	5159.193097	7379.65106	7801.120651	
MSTRG.30204	MSTRG.30204_jg9932	485.3927226	11.95680739	1.219804312	9.802234069	1.10E-22	4.19E-20	0	0	0	908.1856502	851.7410403	1152.429645	
MSTRG.28181	MSTRG.28181_jg4357	251.5154167	3.18975751	0.325566861	9.797549714	1.15E-22	4.33E-20	51.72243289	47.5888668	49.98169606	364.1475155	536.0475487	459.6044399	
MSTRG.36267	MSTRG.36267_jg18943	634.0411217	3.377472175	0.344919032	9.79207251	1.22E-22	4.50E-20	160.5178952	97.75010477	78.54266523	1328.221513	1061.992906	1077.221646	
MSTRG.665	MSTRG.665_jg16026	1034.626724	4.363368818	0.445892537	9.785696005	1.30E-22	4.73E-20	110.5789945	95.17773359	82.62280369	1046.160009	3185.978717	1687.242084	
MSTRG.11085	MSTRG.11085_jg3444	443.583411	3.032485449	0.309957573	9.783550107	1.32E-22	4.76E-20	101.6613336	110.6119607	78.54266523	753.6194386	966.0220843	651.0429835	
MSTRG.31749	MSTRG.31749_jg28871	478.925842	-2.410230196	0.248379362	-9.703826339	2.90E-22	1.02E-19	907.8178738	803.8659932	706.8839871	158.0592334	135.1168144	161.8111499	
MSTRG.34041	MSTRG.34041_genb_5354	1290.553623	5.485488705	0.568996622	9.640634915	5.39E-22	1.86E-19	107.0119301	34.7270109	29.58100379	1614.649295	4064.238011	1893.114487	
MSTRG.18566	MSTRG.18566_jg22943	279.7441821	3.181006601	0.33045195	9.626230374	6.20E-22	2.11E-19	46.37183638	65.59546504	54.06183451	420.0358632	482.3796552	610.0204385	
MSTRG.15494	MSTRG.15494_jg1695	188.6724869	6.3693597	0.665438747	9.571669405	1.05E-21	3.54E-19	0	5.144742356	7.140242294	239.2719886	519.6314872	360.8464611	
